paper_id,title,journal_short,publication_year,institution_names,primary_topic,cited_by_count,citation_percentile,exact_math_density,broad_math_density
AOS_2023_0023,Optimal change-point detection and localization,AOS,2023,"Centre Inria de Saclay | Centre de Recherche en Économie et Statistique | Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement | Institut de recherche mathématique de Rennes | Laboratoire Jean-Alexandre Dieudonné | Mathématiques, Informatique et Statistique pour l'Environnement et l'Agronomie | Université Côte d'Azur | Université Rennes 2 | Université de Rennes | École Nationale d'Administration",Statistical Methods and Inference,41,98.1707,0.1657,0.4735
AOS_2024_0024,Plugin estimation of smooth optimal transport maps,AOS,2024,Carnegie Mellon University | Courant Institute of Mathematical Sciences,Markov Chains and Monte Carlo Methods,31,99.463186,0.1718,0.4022
AOS_2024_0025,The right complexity measure in locally private estimation: It is not the Fisher information,AOS,2024,Science North | Stanford University,Privacy-Preserving Technologies in Data,30,85.46171700000001,0.0881,0.3969
AOS_2023_0027,ScreeNOT: Exact MSE-optimal singular value thresholding in correlated noise,AOS,2023,Hebrew University of Jerusalem | Stanford University,Random Matrices and Applications,23,97.954416,0.1072,0.2712
AOS_2023_0028,Grouped variable selection with discrete optimization: Computational and statistical perspectives,AOS,2023,Google (United States) | Massachusetts Institute of Technology | University of Sydney,Statistical Methods and Inference,19,96.784249,0.0,0.2957
AOS_2023_0030,Adaptive and robust multi-task learning,AOS,2023,Columbia University | New York University,Domain Adaptation and Few-Shot Learning,18,92.674326,0.421,0.579
AOS_2024_0031,Settling the sample complexity of model-based offline reinforcement learning,AOS,2024,California Institute of Technology | Carnegie Mellon University | Chinese University of Hong Kong | University of Pennsylvania,Advanced Bandit Algorithms Research,18,97.837956,0.081,0.5154
AOS_2023_0032,Nonlinear network autoregression,AOS,2023,University of Cyprus | Vrije Universiteit Amsterdam,Statistical Methods and Inference,16,96.584961,0.0799,0.3036
AOS_2023_0034,Local convexity of the TAP free energy and AMP convergence for Z2-synchronization,AOS,2023,"University of California, Berkeley | Yale University",Blind Source Separation Techniques,15,91.974774,0.6154,0.5294
AOS_2023_0035,Rate-optimal robust estimation of high-dimensional vector autoregressive models,AOS,2023,Shanghai Jiao Tong University | University of Chicago,Statistical Methods and Inference,14,95.729906,0.5054,0.5205
AOS_2023_0037,On robustness and local differential privacy,AOS,2023,University of Warwick,Privacy-Preserving Technologies in Data,13,89.894504,0.3509,0.4124
AOS_2024_0038,Tensor factor model estimation by iterative projection,AOS,2024,Rutgers Sexual and Reproductive Health and Rights | University of Hong Kong | University of Notre Dame,Tensor decomposition and applications,13,95.359629,0.1675,0.4168
AOS_2024_0040,"E-statistics, group invariance and anytime-valid testing",AOS,2024,Centrum Wiskunde & Informatica | Eindhoven University of Technology | Leiden University | Mathematical Institute of the Slovak Academy of Sciences,Statistical Methods in Clinical Trials,11,97.719998,0.2969,0.2883
AOS_2023_0041,Minimax rate of distribution estimation on unknown submanifolds under adversarial losses,AOS,2023,Hong Kong University of Science and Technology | University of Illinois Urbana-Champaign,Statistical Methods and Inference,10,93.778193,0.1311,0.5491
AOS_2024_0042,Online change-point detection for matrix-valued time series with latent two-way factor structure,AOS,2024,Institute for Financial Research | Nanjing Audit University | Shandong University | Shanghai University of Finance and Economics | University of Pavia,Cardiovascular Health and Disease Prevention,10,94.938954,0.1988,0.2967
AOS_2024_0043,On the approximation accuracy of Gaussian variational inference,AOS,2024,Massachusetts Institute of Technology,Gaussian Processes and Bayesian Inference,10,93.695082,0.437,0.2714
AOS_2024_0045,Inference for heteroskedastic PCA with missing data,AOS,2024,Data & Society Research Institute | Massachusetts Institute of Technology | Princeton University | University of Pennsylvania,Random Matrices and Applications,9,96.813653,0.1013,0.6919
AOS_2024_0046,Metric statistics: Exploration and inference for random objects with distance profiles,AOS,2024,"Rutgers Sexual and Reproductive Health and Rights | University of California, Davis | University of Southern California",Bayesian Methods and Mixture Models,8,91.446442,0.1446,0.3814
AOS_2024_0047,"Gromov–Wasserstein distances: Entropic regularization, duality and sample complexity",AOS,2024,Cornell University | Pennsylvania State University,Geometric Analysis and Curvature Flows,8,98.010599,0.0551,0.4579
AOS_2024_0048,Learning Gaussian mixtures using the Wasserstein–Fisher–Rao gradient flow,AOS,2024,Columbia University | University of Wisconsin–Madison,Markov Chains and Monte Carlo Methods,8,96.108124,0.0935,0.5089
AOS_2023_0049,Graphical models for nonstationary time series,AOS,2023,Cornell University | Texas A&M University,Metabolomics and Mass Spectrometry Studies,7,76.504181,0.0777,0.4583
AOS_2023_0050,Breaking the winner’s curse in Mendelian randomization: Rerandomized inverse variance weighted estimator,AOS,2023,"The University of Texas MD Anderson Cancer Center | University of California, Berkeley | University of California, San Diego",Genetic Associations and Epidemiology,7,89.081107,0.0,0.1707
AOS_2024_0051,"Tensor-on-tensor regression: Riemannian optimization, over-parameterization, statistical-computational gap and their interplay",AOS,2024,Duke University | University of Chicago,Tensor decomposition and applications,7,89.66318199999999,0.0,0.4825
AOS_2025_0052,The generalization error of max-margin linear classifiers: Benign overfitting and high dimensional asymptotics in the overparametrized regime,AOS,2025,D. E. Shaw Research | Massachusetts Institute of Technology | Science North | Stanford University,Neural Networks and Applications,7,98.674515,0.2011,0.5339
AOS_2023_0053,On the disjoint and sliding block maxima method for piecewise stationary time series,AOS,2023,Heinrich Heine University Düsseldorf | Mathematical Institute of the Slovak Academy of Sciences,Financial Risk and Volatility Modeling,6,83.839079,0.4762,0.36
AOS_2023_0054,A CLT for the LSS of large-dimensional sample covariance matrices with diverging spikes,AOS,2023,Northeast Normal University,Random Matrices and Applications,6,88.463337,0.1351,0.4618
AOS_2023_0055,Efficient shape-constrained inference for the autocovariance sequence from a reversible Markov chain,AOS,2023,Pennsylvania State University,Markov Chains and Monte Carlo Methods,6,88.981645,0.3078,0.3444
AOS_2024_0056,Consistent inference for diffusions from low frequency measurements,AOS,2024,Institute of Mathematical Statistics | University of Cambridge,NMR spectroscopy and applications,6,94.758731,0.2207,0.3716
AOS_2024_0057,Change-point inference in high-dimensional regression models under temporal dependence,AOS,2024,University of Notre Dame | University of Warwick,Statistical Methods and Inference,6,95.053126,0.6648,0.5562
AOS_2024_0058,The projected covariance measure for assumption-lean variable significance testing,AOS,2024,University of Cambridge | University of Copenhagen | Yonsei University,Advanced Statistical Methods and Models,6,95.553257,0.3526,0.4939
AOS_2025_0059,Bayesian nonparametric inference in McKean–Vlasov models,AOS,2025,Imperial College London | Institute of Mathematical Statistics | University of Cambridge,Markov Chains and Monte Carlo Methods,6,99.056604,0.3996,0.3396
AOS_2025_0060,The numeraire e-variable and reverse information projection,AOS,2025,Carnegie Mellon University | London School of Economics and Political Science,Reservoir Engineering and Simulation Methods,6,96.799918,0.3306,0.2751
AOS_2025_0061,Near-optimal inference in adaptive linear regression,AOS,2025,"Decision Systems (United States) | Google DeepMind (United Kingdom) | Microsoft Research (United Kingdom) | Rutgers Sexual and Reproductive Health and Rights | University of California, Berkeley",Advanced Bandit Algorithms Research,5,91.905751,0.0158,0.3699
AOS_2023_0062,Uniform consistency in nonparametric mixture models,AOS,2023,Princeton University | University of Chicago,Bayesian Methods and Mixture Models,5,77.722077,0.1811,0.3775
AOS_2023_0063,Noisy linear inverse problems under convex constraints: Exact risk asymptotics in high dimensions,AOS,2023,Rutgers Sexual and Reproductive Health and Rights,Statistical Methods and Inference,5,79.13084,0.4951,0.4408
AOS_2023_0065,Estimation of mixed fractional stable processes using high-frequency data,AOS,2023,Delft University of Technology | University of Luxembourg,Control Systems and Identification,5,72.383318,0.6313,0.5444
AOS_2024_0067,Maximum likelihood for high-noise group orbit estimation and single-particle cryo-EM,AOS,2024,University of Chicago | Yale University,Advanced Electron Microscopy Techniques and Applications,5,89.763178,0.6279,0.4641
AOS_2024_0068,Convergence rates of oblique regression trees for flexible function libraries,AOS,2024,Princeton University,Machine Learning and Data Classification,5,86.417598,0.4269,0.4139
AOS_2024_0069,How do noise tails impact on deep ReLU networks?,AOS,2024,Decision Sciences (United States) | Princeton University | University of Illinois Chicago,Neural Networks and Applications,5,87.48964099999999,0.4456,0.4564
AOS_2024_0070,Asymptotic normality and optimality in nonsmooth stochastic approximation,AOS,2024,Cornell University | University of Washington,Matrix Theory and Algorithms,5,87.436338,0.2012,0.3855
AOS_2024_0071,Exact minimax optimality of spectral methods in phase synchronization and orthogonal group synchronization,AOS,2024,University of Pennsylvania,Nonlinear Dynamics and Pattern Formation,5,83.038337,0.5407,0.4506
AOS_2024_0072,Improved covariance estimation: Optimal robustness and sub-Gaussian guarantees under heavy tails,AOS,2024,Columbia University | Instituto Nacional de Matemática Pura e Aplicada,Advanced Statistical Methods and Models,5,93.645468,0.4892,0.3565
AOS_2024_0073,Joint sequential detection and isolation for dependent data streams,AOS,2024,University of Illinois Urbana-Champaign,Distributed Sensor Networks and Detection Algorithms,5,85.864768,0.6325,0.5349
AOS_2024_0074,Deep neural networks for nonparametric interaction models with diverging dimension,AOS,2024,Boston University | Princeton University | University of Florida,Neural Networks and Applications,5,87.942342,0.0719,0.4242
AOS_2024_0075,Non-independent component analysis,AOS,2024,Pompeu Fabra University | Statistical Research (United States),Spectroscopy and Chemometric Analyses,5,75.55254500000001,0.1501,0.255
AOS_2023_0077,Minimax rates for conditional density estimation via empirical entropy,AOS,2023,Microsoft Research (United Kingdom) | Microsoft Research New England (United States) | University of Toronto,Statistical Methods and Inference,4,80.230031,0.3813,0.1501
AOS_2024_0078,Finding the optimal dynamic treatment regimes using smooth Fisher consistent surrogate loss,AOS,2024,Harvard University | Texas A&M University,Statistical Methods in Clinical Trials,4,90.709195,0.0612,0.1463
AOS_2024_0079,One-step estimation of differentiable Hilbert-valued parameters,AOS,2024,University of Washington,Statistical Methods and Inference,4,91.691095,0.3568,0.4261
AOS_2024_0080,Spectral statistics of sample block correlation matrices,AOS,2024,Hong Kong University of Science and Technology | Northeast Normal University | University of Hong Kong,Random Matrices and Applications,4,91.330964,0.2507,0.5356
AOS_2024_0081,Dimension free ridge regression,AOS,2024,Stanford University,Sparse and Compressive Sensing Techniques,4,80.907739,0.1408,0.6437
AOS_2025_0082,"A new central limit theorem for the augmented IPW estimator: Variance inflation, cross-fit covariance and beyond",AOS,2025,Harvard University,Statistical Methods and Inference,4,98.304509,0.4373,0.7151
AOS_2023_0083,Coverage of credible intervals in Bayesian multivariate isotonic regression,AOS,2023,North Carolina State University,Statistical Methods and Inference,3,78.564762,0.4367,0.4519
AOS_2024_0086,On posterior consistency of data assimilation with Gaussian process priors: The 2D-Navier–Stokes equations,AOS,2024,Institute of Mathematical Statistics | University of Cambridge,Reservoir Engineering and Simulation Methods,3,76.13978,0.1597,0.277
AOS_2024_0087,Estimating a density near an unknown manifold: A Bayesian nonparametric approach,AOS,2024,University of Oxford | University of Potsdam,Bayesian Methods and Mixture Models,3,80.863918,0.3452,0.4847
AOS_2024_0088,Efficiency in local differential privacy,AOS,2024,,Privacy-Preserving Technologies in Data,3,81.687856,0.2851,0.467
AOS_2024_0090,Increasing dimension asymptotics for two-way crossed mixed effect models,AOS,2024,Australian National University | UNSW Sydney,Statistical Methods and Inference,3,89.147478,0.2235,0.5202
AOS_2025_0092,A geometrical analysis of kernel ridge regression and its applications,AOS,2025,Centre de Recherche en Économie et Statistique | Centre for Research in Engineering Surface Technology | ENSAE Paris | ETH Zurich | Institut Polytechnique de Paris | École Supérieure des Sciences Économiques et Commerciales,Morphological variations and asymmetry,3,98.709754,0.0,0.4677
AOS_2023_0093,Complexity analysis of Bayesian learning of high-dimensional DAG models and their equivalence classes,AOS,2023,Texas A&M University,Markov Chains and Monte Carlo Methods,2,72.067631,0.3644,0.3544
AOS_2024_0094,Characterization of causal ancestral graphs for time series with latent confounders,AOS,2024,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),Bayesian Modeling and Causal Inference,2,73.28569499999999,0.4295,0.3393
AOS_2024_0096,Dimension-free mixing times of Gibbs samplers for Bayesian hierarchical models,AOS,2024,Bocconi University | Decision Sciences (United States) | Duke University,Markov Chains and Monte Carlo Methods,2,82.82869099999999,0.6033,0.5167
AOS_2024_0097,MARS via LASSO,AOS,2024,"Google (United States) | University of California, Berkeley",Statistical Methods and Inference,2,82.826241,0.6072,0.5258
AOS_2024_0099,Higher-order coverage errors of batching methods via Edgeworth expansions on t-statistics,AOS,2024,Columbia University,Statistical Methods and Inference,2,74.097843,0.3554,0.4255
AOS_2024_0100,A nonparametric doubly robust test for a continuous treatment effect,AOS,2024,University of Miami | University of Minnesota,Statistical Methods and Inference,2,83.482077,0.5348,0.3988
AOS_2024_0101,Debiased inverse propensity score weighting for estimation of average treatment effects with high-dimensional confounders,AOS,2024,Tsinghua University | University of Cambridge,Advanced Causal Inference Techniques,2,84.623369,0.4395,0.4576
AOS_2024_0102,Optimal policy evaluation using kernel-based temporal difference methods,AOS,2024,Massachusetts Institute of Technology | New York University | Princeton University,Statistical Methods and Inference,2,84.62831200000001,0.0798,0.5061
AOS_2024_0103,Convex regression in multidimensions: Suboptimality of least squares estimators,AOS,2024,"Columbia University | ETH Zurich | University of California, Berkeley | University of Idaho",Statistical Methods and Inference,2,85.078097,0.5626,0.4302
AOS_2025_0105,Deflated HeteroPCA: Overcoming the curse of ill-conditioning in heteroskedastic PCA,AOS,2025,University of Illinois Urbana-Champaign | University of Pennsylvania,Advanced Neuroimaging Techniques and Applications,2,88.26692299999999,0.0659,0.5533
AOS_2025_0106,General spatio-temporal factor models for high-dimensional random fields on a lattice,AOS,2025,Centre de Recherche en Économie et Statistique | Centre for Research in Engineering Surface Technology | ENSAE Paris | University of Geneva | University of Science and Technology of China,Soil Geostatistics and Mapping,2,79.288753,0.298,0.5395
AOS_2025_0107,Forward selection and post-selection inference in factorial designs,AOS,2025,"University of California, Berkeley",Optimal Experimental Design Methods,2,94.138582,0.3248,0.3508
AOS_2025_0108,Semiparametric adaptive estimation under informative sampling,AOS,2025,Iowa State University | Osaka University | RIKEN Center for Advanced Intelligence Project,Statistical Methods and Inference,2,96.025522,0.0,0.3078
AOS_2025_0109,On the convergence of coordinate ascent variational inference,AOS,2025,"Texas A&M University | University of Maryland, College Park | University of Wisconsin–Madison",Bayesian Methods and Mixture Models,2,95.735411,0.0734,0.2668
AOS_2025_0110,Deep horseshoe Gaussian processes,AOS,2025,"Department of Mathematical Sciences | Laboratoire de Probabilités, Statistique et Modélisation | Sorbonne Université | Statistical and Applied Mathematical Sciences Institute",Gaussian Processes and Bayesian Inference,2,95.876321,0.4011,0.3613
AOS_2025_0111,Theory of functional principal component analysis for discretely observed data,AOS,2025,King University | Peking University | University of North Carolina at Chapel Hill,Sensory Analysis and Statistical Methods,2,90.253476,0.2681,0.3667
AOS_2024_0113,High-dimensional covariance matrices under dynamic volatility models: Asymptotics and shrinkage estimation,AOS,2024,Hong Kong University of Science and Technology | University of Macau,Complex Systems and Time Series Analysis,1,88.157743,0.0,0.472
AOS_2025_0115,Optimal heteroskedasticity testing in nonparametric regression,AOS,2025,University of Chicago,Advanced Statistical Methods and Models,1,86.466239,0.5051,0.4221
AOS_2025_0116,ARK: Robust knockoffs inference with coupling,AOS,2025,University of Southern California | University of Tennessee at Knoxville,Generative Adversarial Networks and Image Synthesis,1,79.697006,0.0526,0.5925
AOS_2025_0117,A statistical framework for analyzing shape in a time series of random geometric objects,AOS,2025,Columbia University,Topological and Geometric Data Analysis,1,83.789419,0.3304,0.3956
AOS_2025_0119,Statistical algorithms for low-frequency diffusion data: A PDE approach,AOS,2025,Humboldt State University | University of Turin,NMR spectroscopy and applications,1,86.734694,0.2388,0.3355
AOS_2025_0120,Asymptotic distributions of largest Pearson correlation coefficients under dependent structures,AOS,2025,Chinese University of Hong Kong,Bayesian Methods and Mixture Models,1,90.871019,0.0562,0.4102
AOS_2025_0121,Online estimation and inference for robust policy evaluation in reinforcement learning,AOS,2025,New York University | Purdue University West Lafayette | Shanghai Jiao Tong University | Shanghai University of Finance and Economics,Reinforcement Learning in Robotics,1,93.040699,0.4571,0.4087
AOS_2025_0122,Online statistical inference in decision-making with matrix context,AOS,2025,Purdue University West Lafayette,Advanced Bandit Algorithms Research,1,91.753907,0.0504,0.4583
AOS_2025_0123,Advances in Bayesian model selection consistency for high-dimensional generalized linear models,AOS,2025,North Carolina State University | Pohang University of Science and Technology,Statistical Methods and Inference,1,93.564405,0.6809,0.6087
AOS_2025_0124,Asymptotically-exact selective inference for quantile regression,AOS,2025,University of Michigan–Ann Arbor | Washington University in St. Louis,Statistical Methods and Inference,1,93.617953,0.3967,0.4686
AOS_2023_0125,Nested Markov properties for acyclic directed mixed graphs,AOS,2023,Harvard University | Harvard University Press | Johns Hopkins University | Seattle University | University of Oxford | University of Washington,Bayesian Modeling and Causal Inference,18,51.600692,0.3222,0.2821
AOS_2023_0126,Post-selection inference via algorithmic stability,AOS,2023,"University of California, Berkeley",Statistical Methods and Inference,15,93.698374,0.065,0.2325
AOS_2023_0128,Total positivity in multivariate extremes,AOS,2023,University of Geneva | University of Toronto,Statistical Methods and Inference,12,95.261819,0.1574,0.3021
AOS_2023_0129,On high-dimensional Poisson models with measurement error: Hypothesis testing for nonlinear nonconvex optimization,AOS,2023,"Pennsylvania State University | Syracuse University | Tongji University | University of California, San Francisco",Statistical Methods and Inference,11,93.632124,0.0,0.6088
AOS_2023_0130,Universal rank inference via residual subsampling with application to large networks,AOS,2023,University of Science and Technology of China | University of Southern California,Random Matrices and Applications,9,91.632664,0.0607,0.3206
AOS_2023_0131,Conditional predictive inference for stable algorithms,AOS,2023,,Probabilistic and Robust Engineering Design,8,87.300751,0.2788,0.3848
AOS_2023_0132,Optimal nonparametric testing of Missing Completely At Random and its connections to compatibility,AOS,2023,University of Warwick,Bayesian Modeling and Causal Inference,8,85.188509,0.524,0.5654
AOS_2023_0133,Bootstrapping persistent Betti numbers and other stabilizing statistics,AOS,2023,"Catholic University of Eichstätt-Ingolstadt | University of California, Davis",Topological and Geometric Data Analysis,7,73.86012199999999,0.4614,0.3272
AOS_2023_0135,Optimal high-dimensional and nonparametric distributed testing under communication constraints,AOS,2023,Bocconi University | Decision Sciences (United States) | Delft University of Technology | Institute of Applied Mathematics | Vrije Universiteit Amsterdam,Distributed Sensor Networks and Detection Algorithms,7,80.45788499999999,0.3309,0.416
AOS_2024_0136,Minimax rates for heterogeneous causal effect estimation,AOS,2024,Carnegie Mellon University,Advanced Causal Inference Techniques,7,95.176088,0.3726,0.3649
AOS_2024_0137,The curse of overparametrization in adversarial training: Precise analysis of robust generalization for random features regression,AOS,2024,University of Pennsylvania | University of Southern California,Advanced Statistical Methods and Models,7,95.921359,0.2273,0.474
AOS_2024_0138,Parameter estimation in nonlinear multivariate stochastic differential equations based on splitting schemes,AOS,2024,Centre National de la Recherche Scientifique | Institut polytechnique de Grenoble | Laboratoire Jean Kuntzmann | University of Copenhagen | Université Grenoble Alpes,Stochastic processes and financial applications,6,88.362161,0.5238,0.5279
AOS_2024_0140,Adaptive novelty detection with false discovery rate guarantee,AOS,2024,"Centre National de la Recherche Scientifique | Laboratoire de Probabilités, Statistique et Modélisation | Observatoire de la Côte d’Azur | Sorbonne Université | Stanford University | Université Paris Cité",Anomaly Detection Techniques and Applications,6,88.526439,0.1915,0.3207
AOS_2024_0141,Wasserstein convergence in Bayesian and frequentist deconvolution models,AOS,2024,University of Oxford | University of Verona,Statistical Methods and Inference,6,94.254062,0.3589,0.5274
AOS_2024_0142,Statistical inference for rough volatility: Minimax theory,AOS,2024,Baruch College | Hong Kong University of Science and Technology | Université Paris Dauphine-PSL | École Polytechnique,Financial Risk and Volatility Modeling,6,92.458387,0.1915,0.5128
AOS_2023_0143,Adjusted chi-square test for degree-corrected block models,AOS,2023,"University of California, Los Angeles",Complex Network Analysis Techniques,5,67.734531,0.1574,0.343
AOS_2024_0144,"Adaptive variational Bayes: Optimality, computation and applications",AOS,2024,"Inha University | University of Maryland, College Park",Bayesian Methods and Mixture Models,5,85.712867,0.45,0.4005
AOS_2024_0145,Leave-one-out singular subspace perturbation analysis for spectral clustering,AOS,2024,University of Pennsylvania | Yale University,Blind Source Separation Techniques,5,85.262321,0.4209,0.4611
AOS_2024_0146,Computational and statistical thresholds in multi-layer stochastic block models,AOS,2024,Carnegie Mellon University | Duke University | University of Pennsylvania,Image and Signal Denoising Methods,5,81.208046,0.5007,0.375
AOS_2024_0147,Environment invariant linear least squares,AOS,2024,Peking University | Princeton University | University of Illinois Urbana-Champaign,Statistical and numerical algorithms,5,96.282025,0.1841,0.4639
AOS_2025_0148,On the sample complexity of entropic optimal transport,AOS,2025,Center for Responsible Travel | Centre de Recherche en Économie et Statistique | Centre for Research in Engineering Surface Technology | ENSAE Paris | Massachusetts Institute of Technology,Markov Chains and Monte Carlo Methods,5,98.556247,0.1602,0.35
AOS_2023_0150,Canonical noise distributions and private hypothesis tests,AOS,2023,,Privacy-Preserving Technologies in Data,4,73.908213,0.3165,0.2296
AOS_2023_0151,"Variable selection, monotone likelihood ratio and group sparsity",AOS,2023,Applied Mathematics (United States) | Centre de Recherche en Économie et Statistique | ENSAE Paris | Heidelberg University | École Supérieure des Sciences Économiques et Commerciales,Statistical Methods and Inference,4,75.255221,0.2821,0.408
AOS_2023_0152,Efficient functional estimation and the super-oracle phenomenon,AOS,2023,University of Cambridge | University of Warwick,Statistical Methods and Inference,4,76.67307,0.5302,0.6191
AOS_2023_0153,Projected state-action balancing weights for offline reinforcement learning,AOS,2023,Decision Sciences (United States) | George Washington University | Texas A&M University,Advanced Causal Inference Techniques,4,83.164644,0.4669,0.4583
AOS_2023_0154,S-estimation in linear models with structured covariance matrices,AOS,2023,Delft University of Technology | Institut National des Sciences Appliquées de Rennes | Toulouse School of Economics,Advanced Statistical Methods and Models,4,82.670881,0.5936,0.5219
AOS_2024_0155,A general framework to quantify deviations from structural assumptions in the analysis of nonstationary function-valued processes,AOS,2024,Columbia University | Ruhr University Bochum,Fault Detection and Control Systems,4,80.315481,0.3483,0.5637
AOS_2024_0156,Reconciling model-X and doubly robust approaches to conditional independence testing,AOS,2024,Ghent University | University of Pennsylvania,Statistical Methods and Inference,4,90.366972,0.388,0.3556
AOS_2025_0157,"Unified algorithms for RL with Decision-Estimation Coefficients: PAC, reward-free, preference-based learning and beyond",AOS,2025,"Massachusetts Institute of Technology | Salesforce (United States) | University of California, Berkeley",Advanced Bandit Algorithms Research,4,96.496582,0.1567,0.3654
AOS_2025_0158,Large-dimensional independent component analysis: Statistical optimality and computational tractability,AOS,2025,Columbia University | The Ohio State University,Blind Source Separation Techniques,4,96.37092,0.3505,0.2957
AOS_2024_0159,Supervised homogeneity fusion: A combinatorial approach,AOS,2024,Southwestern University of Finance and Economics | University of Michigan–Ann Arbor,Statistical Methods and Inference,3,84.856706,0.2446,0.33
AOS_2023_0163,Gaussian process regression in the flat limit,AOS,2023,"Centre de Recherche en Automatique de Nancy | Grain Inspection, Packers and Stockyards Administration | Grenoble Images Parole Signal Automatique",Gaussian Processes and Bayesian Inference,2,62.210232,0.1648,0.3021
AOS_2024_0164,Bootstrap-assisted inference for generalized Grenander-type estimators,AOS,2024,"Princeton University | University of California, Berkeley | University of Warwick",Statistical Methods and Inference,2,82.484956,0.1088,0.5356
AOS_2024_0165,Computational lower bounds for graphon estimation via low-degree polynomials,AOS,2024,University of Chicago,Graph theory and applications,2,87.166931,0.2462,0.4707
AOS_2024_0166,Change-point analysis with irregular signals,AOS,2024,Florida State University | University of Chicago | University of Göttingen,Statistical Methods and Inference,2,84.009676,0.0373,0.4051
AOS_2025_0167,Multivariate dynamic mediation analysis under a reinforcement learning framework,AOS,2025,"London School of Economics and Political Science | Rutgers Sexual and Reproductive Health and Rights | Rutgers, The State University of New Jersey | University of California, Berkeley | University of Michigan–Ann Arbor",Technology and Human Factors in Education and Health,2,89.23571,0.0246,0.3426
