paper_id,journal_short,openalex_work_id,journal,work_type,publication_year,publication_date,volume,issue,title,doi,cited_by_count,citation_percentile,keywords,keyword_count,openalex_topics,topic_count,primary_topic,primary_topic_count,author_count,author_names,author_ids,institution_names,num_institutions,total_valid_chars,proof_chars,proof_density,display_chars,display_density,math_density
AOS_2023_0018,AOS,https://openalex.org/W4387828537,The Annals of Statistics,article,2023,2023-08-01,51.0,4.0,Learning low-dimensional nonlinear structures from high-dimensional noisy data: An integral operator approach,https://doi.org/10.1214/23-aos2306,7,81.670955,Algorithm | Applied mathematics | Artificial intelligence | Cluster analysis | Computer science | Dimensionality reduction | Discrete mathematics | Embedding | Hilbert space | Kernel (algebra) | Kernel embedding of distributions | Kernel method | Kernel principal component analysis | Key (lock) | Manifold (fluid mechanics) | Mathematical analysis | Mathematics | Nonlinear dimensionality reduction | Nonlinear system | Rate of convergence | Reproducing kernel Hilbert space | Support vector machine,22,Face and Expression Recognition | Fractional Differential Equations Solutions | Sparse and Compressive Sensing Techniques,3,Fractional Differential Equations Solutions,1,2,Xiucai Ding | Rong Ma,https://openalex.org/A5054237838 | https://openalex.org/A5062373772,"Stanford University | University of California, Davis",2,204581,46828,0.2289,29487,0.1441,0.3730307311040615
AOS_2024_0019,AOS,https://openalex.org/W4392591378,The Annals of Statistics,article,2024,2024-02-01,52.0,1.0,Statistical-computational trade-offs in tensor PCA and related problems via communication complexity,https://doi.org/10.1214/23-aos2331,7,88.982036,Algorithm | Computational complexity theory | Computer science | Econometrics | Mathematical optimization | Mathematics | Pure mathematics | Tensor (intrinsic definition) | Theoretical computer science,9,Blind Source Separation Techniques | Sparse and Compressive Sensing Techniques | Tensor decomposition and applications,3,Tensor decomposition and applications,1,2,Rishabh Dudeja | Daniel Hsu,https://openalex.org/A5061942819 | https://openalex.org/A5061246300,Columbia University | University of Wisconsin–Madison,2,478779,228181,0.4766,183376,0.383,0.8595970165775859
AOS_2024_0021,AOS,https://openalex.org/W4403143668,The Annals of Statistics,article,2024,2024-08-01,52.0,4.0,Optimal parameter estimation for linear SPDEs from multiple measurements,https://doi.org/10.1214/24-aos2364,6,87.438821,Applied mathematics | Engineering | Estimation | Estimation theory | Mathematics | Statistics,6,Control Systems and Identification | Fault Detection and Control Systems | Probabilistic and Robust Engineering Design,3,Fault Detection and Control Systems,1,3,Randolf Altmeyer | Anton Tiepner | Martin Wahl,https://openalex.org/A5051175185 | https://openalex.org/A5087996930 | https://openalex.org/A5073666637,Aarhus University | Bielefeld University | Institute of Mathematical Statistics | University of Cambridge,4,168403,77912,0.4627,47793,0.2838,0.7464534479789553
AOS_2024_0022,AOS,https://openalex.org/W4403111811,The Annals of Statistics,article,2024,2024-08-01,52.0,4.0,Sharp multiple testing boundary for sparse sequences,https://doi.org/10.1214/24-aos2404,5,93.848254,Algorithm | Artificial intelligence | Boundary (topology) | Computer science | Mathematical analysis | Mathematics,6,Optimal Experimental Design Methods | Statistical Methods and Inference | Statistical Methods in Clinical Trials,3,Statistical Methods in Clinical Trials,1,3,Kweku Abraham | Ismaël Castillo | Étienne Roquain,https://openalex.org/A5014906959 | https://openalex.org/A5081478341 | https://openalex.org/A5034270500,"Institute of Mathematical Statistics | Laboratoire de Probabilités, Statistique et Modélisation | Sorbonne Université | University of Cambridge",4,282297,109733,0.3887,57473,0.2036,0.5923052671477204
AOS_2023_0023,AOS,https://openalex.org/W3094239884,The Annals of Statistics,article,2023,2023-08-01,51.0,4.0,Optimal change-point detection and localization,https://doi.org/10.1214/23-aos2297,41,98.1707,Applied mathematics | Artificial intelligence | Change detection | Computer science | Energy (signal processing) | Estimator | Geometry | Inflection point | Mathematical analysis | Mathematical optimization | Mathematics | Minimax | Parametric statistics | Piecewise | Point (geometry) | Position (finance) | Series (stratigraphy) | Statistics,18,Control Systems and Identification | Sparse and Compressive Sensing Techniques | Statistical Methods and Inference,3,Statistical Methods and Inference,1,4,Nicolas Verzélen | Magalie Fromont | Matthieu Lerasle | Patricia Reynaud-Bouret,https://openalex.org/A5054772316 | https://openalex.org/A5032487997 | https://openalex.org/A5113511073 | https://openalex.org/A5039877568,"Centre Inria de Saclay | Centre de Recherche en Économie et Statistique | Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement | Institut de recherche mathématique de Rennes | Laboratoire Jean-Alexandre Dieudonné | Mathématiques, Informatique et Statistique pour l'Environnement et l'Agronomie | Université Côte d'Azur | Université Rennes 2 | Université de Rennes | École Nationale d'Administration",10,274087,46515,0.1697,39042,0.1424,0.31215271063567407
AOS_2024_0024,AOS,https://openalex.org/W3183895762,The Annals of Statistics,article,2024,2024-06-01,52.0,3.0,Plugin estimation of smooth optimal transport maps,https://doi.org/10.1214/24-aos2379,31,99.463186,Applied mathematics | Central limit theorem | Computer science | Estimator | Geometry | Limit (mathematics) | Lipschitz continuity | Mathematical analysis | Mathematical optimization | Mathematics | Minimax | Nonparametric statistics | Plug-in | Population | Quadratic equation | Statistics,16,Markov Chains and Monte Carlo Methods | Point processes and geometric inequalities | Statistical Methods and Inference,3,Markov Chains and Monte Carlo Methods,1,4,Tudor Manole | Sivaraman Balakrishnan | Jonathan Niles‐Weed | Larry Wasserman,https://openalex.org/A5044922903 | https://openalex.org/A5079499739 | https://openalex.org/A5025908032 | https://openalex.org/A5103096586,Carnegie Mellon University | Courant Institute of Mathematical Sciences,2,342135,58672,0.1715,95651,0.2796,0.4510587925818756
AOS_2024_0025,AOS,https://openalex.org/W2808701946,The Annals of Statistics,article,2024,2024-02-01,52.0,1.0,The right complexity measure in locally private estimation: It is not the Fisher information,https://doi.org/10.1214/22-aos2227,30,85.46171700000001,Artificial intelligence | Computer science | Convergence (economics) | Differential privacy | Econometrics | Economics | Estimation | Estimator | Hellinger distance | Inference | Mathematical optimization | Mathematics | Minimax | Statistician | Statistics | Variation (astronomy),16,Complexity and Algorithms in Graphs | Privacy-Preserving Technologies in Data | Stochastic Gradient Optimization Techniques,3,Privacy-Preserving Technologies in Data,1,2,John C. Duchi | Feng Ruan,https://openalex.org/A5061331093 | https://openalex.org/A5101587259,Science North | Stanford University,2,211732,18647,0.0881,51167,0.2417,0.3297281469026883
AOS_2023_0027,AOS,https://openalex.org/W3088207929,The Annals of Statistics,article,2023,2023-02-01,51.0,1.0,ScreeNOT: Exact MSE-optimal singular value thresholding in correlated noise,https://doi.org/10.1214/22-aos2232,23,97.954416,A priori and a posteriori | Algorithm | Applied mathematics | Artificial intelligence | Computer science | Covariance | Covariance matrix | Eigenvalues and eigenvectors | Mathematical optimization | Mathematics | Random matrix | Singular value | Singular value decomposition | Statistics | Thresholding,15,Bayesian Methods and Mixture Models | Random Matrices and Applications,2,Random Matrices and Applications,1,3,David L. Donoho | Matan Gavish | Elad Romanov,https://openalex.org/A5065355421 | https://openalex.org/A5013235677 | https://openalex.org/A5039600520,Hebrew University of Jerusalem | Stanford University,2,142751,14858,0.1041,16132,0.113,0.21709129883503442
AOS_2023_0028,AOS,https://openalex.org/W3153278865,The Annals of Statistics,article,2023,2023-02-01,51.0,1.0,Grouped variable selection with discrete optimization: Computational and statistical perspectives,https://doi.org/10.1214/21-aos2155,19,96.784249,Algorithm | Artificial intelligence | Computer science | Coordinate descent | Estimator | Heuristics | Integer programming | Mathematical optimization | Mathematics | Selection (genetic algorithm),10,Advanced Statistical Methods and Models | Sparse and Compressive Sensing Techniques | Statistical Methods and Inference,3,Statistical Methods and Inference,1,3,Hussein Hazimeh | Rahul Mazumder | Peter Radchenko,https://openalex.org/A5084502311 | https://openalex.org/A5045271820 | https://openalex.org/A5059442358,Google (United States) | Massachusetts Institute of Technology | University of Sydney,3,203306,0,0.0,27263,0.1341,0.1340983542049915
AOS_2023_0030,AOS,https://openalex.org/W4389816923,The Annals of Statistics,article,2023,2023-10-01,51.0,5.0,Adaptive and robust multi-task learning,https://doi.org/10.1214/23-aos2319,18,92.674326,Artificial intelligence | Computer science | Econometrics | Machine learning | Mathematics | Multi-task learning | Task (project management),7,Domain Adaptation and Few-Shot Learning | Machine Learning and Algorithms | Sparse and Compressive Sensing Techniques,3,Domain Adaptation and Few-Shot Learning,1,2,Yaqi Duan | Kaizheng Wang,https://openalex.org/A5086773173 | https://openalex.org/A5101565855,Columbia University | New York University,2,267595,111714,0.4175,100059,0.3739,0.7913937106448178
AOS_2024_0031,AOS,https://openalex.org/W4392591475,The Annals of Statistics,article,2024,2024-02-01,52.0,1.0,Settling the sample complexity of model-based offline reinforcement learning,https://doi.org/10.1214/23-aos2342,18,97.837956,Artificial intelligence | Computer science | Econometrics | Machine learning | Mathematics | Psychology | Reinforcement | Reinforcement learning | Sample (material) | Statistics,10,Advanced Bandit Algorithms Research | Advanced Control Systems Optimization | Reinforcement Learning in Robotics,3,Advanced Bandit Algorithms Research,1,5,Gen Li | Laixi Shi | Yuxin Chen | Yuejie Chi | Yuting Wei,https://openalex.org/A5100357040 | https://openalex.org/A5075795654 | https://openalex.org/A5100416078 | https://openalex.org/A5053809095 | https://openalex.org/A5005015806,California Institute of Technology | Carnegie Mellon University | Chinese University of Hong Kong | University of Pennsylvania,4,446855,35913,0.0804,183779,0.4113,0.49164046502780545
AOS_2023_0032,AOS,https://openalex.org/W4390055436,The Annals of Statistics,article,2023,2023-12-01,51.0,6.0,Nonlinear network autoregression,https://doi.org/10.1214/23-aos2345,16,96.584961,Applied mathematics | Artificial intelligence | Autoregressive model | Computer science | Discrete mathematics | Identifiability | Inference | Infimum and supremum | Integer (computer science) | Mathematics | Nonlinear system | Series (stratigraphy) | Statistical hypothesis testing | Statistics | Test statistic,15,Complex Systems and Time Series Analysis | Mental Health Research Topics | Statistical Methods and Inference,3,Statistical Methods and Inference,1,2,Mirko Armillotta | Konstantinos Fokianos,https://openalex.org/A5019191581 | https://openalex.org/A5030970430,University of Cyprus | Vrije Universiteit Amsterdam,2,178753,14386,0.0805,15950,0.0892,0.16970903984828226
AOS_2023_0034,AOS,https://openalex.org/W4380490510,The Annals of Statistics,article,2023,2023-04-01,51.0,2.0,Local convexity of the TAP free energy and AMP convergence for Z2-synchronization,https://doi.org/10.1214/23-aos2257,15,91.974774,Applied mathematics | Computer science | Convergence (economics) | Convexity | Initialization | Mathematical optimization | Mathematics,7,Bayesian Methods and Mixture Models | Blind Source Separation Techniques | Sparse and Compressive Sensing Techniques,3,Blind Source Separation Techniques,1,3,Michael Celentano | Zhou Fan | Song Mei,https://openalex.org/A5050590699 | https://openalex.org/A5047187143,"University of California, Berkeley | Yale University",2,218357,130009,0.5954,63624,0.2914,0.8867725788502315
AOS_2023_0035,AOS,https://openalex.org/W4380490509,The Annals of Statistics,article,2023,2023-04-01,51.0,2.0,Rate-optimal robust estimation of high-dimensional vector autoregressive models,https://doi.org/10.1214/23-aos2278,14,95.729906,Applied mathematics | Autoregressive conditional heteroskedasticity | Autoregressive model | Computer science | Consistency (knowledge bases) | Convergence (economics) | Econometrics | Estimator | Heteroscedasticity | Mathematical optimization | Mathematics | Minimax | Moment (physics) | Rate of convergence | Series (stratigraphy) | Statistics | Truncation (statistics) | Volatility (finance),18,Advanced Statistical Methods and Models | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,2,Di Wang | Ruey S. Tsay,https://openalex.org/A5032850247 | https://openalex.org/A5033579806,Shanghai Jiao Tong University | University of Chicago,2,236342,118405,0.501,77641,0.3285,0.8295013158896852
AOS_2023_0037,AOS,https://openalex.org/W4380490518,The Annals of Statistics,article,2023,2023-04-01,51.0,2.0,On robustness and local differential privacy,https://doi.org/10.1214/23-aos2267,13,89.894504,Artificial intelligence | Computer science | Data mining | Differential privacy | Econometrics | Machine learning | Mathematical optimization | Mathematics | Minimax | Multivariate statistics | Nonparametric statistics | Outlier | Point estimation | Robust optimization | Robust statistics | Robustness (evolution) | Statistics | Univariate,18,Advanced Causal Inference Techniques | Privacy-Preserving Technologies in Data | Statistical Methods and Inference,3,Privacy-Preserving Technologies in Data,1,3,Mengchu Li | Thomas B. Berrett | Yi Yu,https://openalex.org/A5088491433 | https://openalex.org/A5057729785 | https://openalex.org/A5000998343,University of Warwick,1,146827,51518,0.3509,42970,0.2927,0.643532865208715
AOS_2024_0038,AOS,https://openalex.org/W4405603129,The Annals of Statistics,article,2024,2024-12-01,52.0,6.0,Tensor factor model estimation by iterative projection,https://doi.org/10.1214/24-aos2412,13,95.359629,Algorithm | Applied mathematics | Computer science | Economics | Estimation | Geometry | Mathematics | Projection (relational algebra) | Tensor (intrinsic definition),9,Advanced Neuroimaging Techniques and Applications | Model Reduction and Neural Networks | Tensor decomposition and applications,3,Tensor decomposition and applications,1,4,Yuefeng Han | Rong Chen | Dan Yang | Cun-Hui Zhang,https://openalex.org/A5085444226 | https://openalex.org/A5100419036 | https://openalex.org/A5101712377 | https://openalex.org/A5109323455,Rutgers Sexual and Reproductive Health and Rights | University of Hong Kong | University of Notre Dame,3,214538,34560,0.1611,48688,0.2269,0.38803382151413734
AOS_2024_0040,AOS,https://openalex.org/W4403142727,The Annals of Statistics,article,2024,2024-08-01,52.0,4.0,"E-statistics, group invariance and anytime-valid testing",https://doi.org/10.1214/24-aos2394,11,97.719998,Confirmatory factor analysis | Group (periodic table) | Mathematics | Measurement invariance | Physics | Psychology | Quantum mechanics | Statistics | Structural equation modeling,9,Advanced Statistical Process Monitoring | Gaussian Processes and Bayesian Inference | Statistical Methods in Clinical Trials,3,Statistical Methods in Clinical Trials,1,4,Muriel Felipe Pérez-Ortiz | Tyron Lardy | Rianne de Heide | Peter Grünwald,https://openalex.org/A5018996592 | https://openalex.org/A5088219815 | https://openalex.org/A5040951235 | https://openalex.org/A5079050279,Centrum Wiskunde & Informatica | Eindhoven University of Technology | Leiden University | Mathematical Institute of the Slovak Academy of Sciences,4,136225,40782,0.2994,21169,0.1554,0.4547696825105524
AOS_2023_0041,AOS,https://openalex.org/W4386035732,The Annals of Statistics,article,2023,2023-06-01,51.0,3.0,Minimax rate of distribution estimation on unknown submanifolds under adversarial losses,https://doi.org/10.1214/23-aos2291,10,93.778193,Algorithm | Applied mathematics | Artificial intelligence | Bayesian probability | Computer science | Data point | Estimator | Generative grammar | Generative model | Manifold (fluid mechanics) | Mathematical analysis | Mathematical optimization | Mathematics | Minimax | Prior probability | Smoothness | Statistics,17,Generative Adversarial Networks and Image Synthesis | Markov Chains and Monte Carlo Methods | Statistical Methods and Inference,3,Statistical Methods and Inference,1,2,Rong Tang | Yun Yang,https://openalex.org/A5100685407 | https://openalex.org/A5104208065,Hong Kong University of Science and Technology | University of Illinois Urbana-Champaign,2,326917,43195,0.1321,103451,0.3164,0.44857257346665974
AOS_2024_0042,AOS,https://openalex.org/W4403142257,The Annals of Statistics,article,2024,2024-08-01,52.0,4.0,Online change-point detection for matrix-valued time series with latent two-way factor structure,https://doi.org/10.1214/24-aos2410,10,94.938954,Artificial intelligence | Change detection | Computer science | Factor (programming language) | Geometry | Machine learning | Mathematics | Matrix (chemical analysis) | Point (geometry) | Series (stratigraphy) | Time series,11,Cardiovascular Health and Disease Prevention | Complex Systems and Time Series Analysis,2,Cardiovascular Health and Disease Prevention,1,4,Yong He | Xinbing Kong | Lorenzo Trapani | Long Yu,https://openalex.org/A5102955052 | https://openalex.org/A5069612179 | https://openalex.org/A5008137367 | https://openalex.org/A5101197096,Institute for Financial Research | Nanjing Audit University | Shandong University | Shanghai University of Finance and Economics | University of Pavia,5,123099,24585,0.1997,25666,0.2085,0.4082161512278735
